,epoch,loss_train,loss_validation,time
0,1,745.08,807.21,1.43
1,2,628.43,841.44,2.78
2,3,570.44,747.53,4.16
3,4,583.09,958.81,5.53
4,5,557.81,743.5,6.92
5,6,538.93,701.21,8.3
6,7,518.41,690.8,9.64
7,8,526.58,766.93,11.02
8,9,505.1,635.37,12.39
9,10,537.74,783.38,13.76
10,11,519.11,714.91,15.13
11,12,509.9,675.3,16.51
12,13,492.8,635.63,17.89
13,14,498.28,638.8,19.26
14,15,485.16,596.39,20.62
15,16,519.17,779.04,21.97
16,17,507.03,620.37,23.4
17,18,500.52,640.66,24.76
18,19,480.75,644.07,26.12
19,20,493.31,637.84,27.48
20,21,477.11,624.37,28.83
21,22,515.86,683.54,30.17
22,23,492.38,661.13,31.52
23,24,488.4,646.81,32.87
24,25,473.45,630.98,34.24
25,26,485.34,600.37,35.6
26,27,477.89,597.2,36.95
27,28,502.38,628.27,38.31
28,29,487.08,654.07,39.67
29,30,483.94,622.21,41.03
30,31,470.18,578.14,42.39
31,32,481.02,578.47,43.75
32,33,466.73,593.32,45.1
33,34,498.82,634.42,46.45
34,35,480.43,579.17,47.82
35,36,474.1,619.06,49.19
36,37,461.61,588.38,50.55
37,38,470.09,641.96,51.92
38,39,460.67,631.09,53.27
39,40,488.75,652.29,54.62
40,41,472.84,634.95,55.97
41,42,473.08,610.22,57.33
42,43,460.51,665.63,58.68
43,44,471.88,576.84,60.03
44,45,458.19,606.96,61.38
45,46,483.75,613.31,62.74
46,47,473.84,785.66,64.09
47,48,473.12,567.07,65.45
48,49,457.29,592.59,66.81
49,50,468.31,567.7,68.16
50,51,455.0,5851.51,69.5
51,52,485.55,625.95,70.84
52,53,473.13,698.05,72.19
53,54,471.18,562.21,73.54
54,55,453.47,565.38,74.91
55,56,467.82,592.48,76.28
56,57,452.05,16042.95,77.63
57,58,490.57,587.51,78.99
58,59,468.0,700.59,80.38
59,60,453.21,593.1,81.75
60,61,454.56,588.32,83.12
61,62,463.35,551.7,84.5
62,63,450.85,24691.2,85.85
63,64,490.62,615.46,87.21
64,65,470.47,679.1,88.59
65,66,454.63,567.21,90.0
66,67,453.32,581.96,91.38
67,68,460.9,567.0,92.76
68,69,452.64,36984.73,94.15
69,70,488.62,593.89,95.52
70,71,468.96,607.46,96.88
71,72,454.4,559.63,98.24
72,73,451.33,582.09,99.64
73,74,466.7,588.49,101.02
74,75,450.66,19787.81,102.42
75,76,488.42,576.01,103.78
76,77,479.71,634.27,105.17
77,78,454.69,612.15,106.57
78,79,471.35,571.93,107.93
79,80,454.44,583.02,109.3
80,81,452.94,19519.73,110.67
81,82,494.27,653.12,112.02
82,83,463.67,649.66,113.41
83,84,452.66,579.81,114.78
84,85,459.63,565.33,116.15
85,86,464.0,535.98,117.51
86,87,452.54,42033.08,118.89
87,88,493.47,577.1,120.26
88,89,468.48,580.59,121.62
89,90,448.12,553.54,122.99
90,91,473.23,590.86,124.36
91,92,448.38,571.06,125.75
92,93,465.41,22527.01,127.14
93,94,483.7,574.11,128.54
94,95,465.81,589.61,129.92
95,96,450.94,612.87,131.31
96,97,467.35,563.8,132.69
97,98,447.98,569.09,134.09
98,99,468.82,20549.71,135.45
99,100,498.82,604.08,136.84
100,101,477.99,594.94,138.24
101,102,458.75,560.37,139.64
102,103,480.2,558.33,141.03
103,104,451.44,573.52,142.4
104,105,479.74,13835.8,143.78
105,106,498.82,648.07,145.18
106,107,481.85,600.2,146.57
107,108,451.99,575.19,147.93
108,109,487.07,582.11,149.31
109,110,458.03,587.46,150.69
110,111,476.34,10764.15,152.05
111,112,500.28,693.17,153.44
112,113,482.13,615.92,154.82
113,114,459.65,637.59,156.2
114,115,466.27,545.78,157.59
115,116,454.61,559.69,158.97
116,117,465.67,21038.28,160.35
117,118,486.6,609.81,161.74
118,119,475.99,647.42,163.12
119,120,457.11,578.44,164.49
120,121,470.83,526.81,165.89
121,122,457.44,569.42,167.28
122,123,469.97,1288.04,168.67
123,124,477.59,597.57,170.04
124,125,463.09,588.19,171.44
125,126,455.28,618.22,172.85
126,127,466.09,582.23,174.25
127,128,445.32,603.04,175.63
